user,date,cumulative_points
Bajler,2026-06-11,0
ChudyWNE,2026-06-11,0
kamiszon,2026-06-11,0
BECIKMASTER,2026-06-11,0
M-Malecki,2026-06-11,0
Underbeskidzie,2026-06-11,0
DaKoPL,2026-06-11,0
Gzybi,2026-06-11,0
Arcik,2026-06-11,0
Przemek Z,2026-06-11,0
Wadhwus,2026-06-11,0
Lyssolini,2026-06-11,0
Fabio22,2026-06-11,0
mizi,2026-06-11,0
Kepi,2026-06-11,0
Szymcio,2026-06-11,0
3ndr1u,2026-06-11,0
kowalik,2026-06-11,0
Pjotrullo,2026-06-11,0
Rado z Kolorado,2026-06-11,0
Malpiszon67,2026-06-11,0
peterradzi,2026-06-11,0
Bogi07,2026-06-11,0

Bajler,2026-06-12,45
ChudyWNE,2026-06-12,45
kamiszon,2026-06-12,45
BECIKMASTER,2026-06-12,45
M-Malecki,2026-06-12,45
Underbeskidzie,2026-06-12,35
DaKoPL,2026-06-12,30
Gzybi,2026-06-12,30
Arcik,2026-06-12,30
Przemek Z,2026-06-12,30
Wadhwus,2026-06-12,30
Lyssolini,2026-06-12,30
Fabio22,2026-06-12,20
mizi,2026-06-12,20
Kepi,2026-06-12,20
Szymcio,2026-06-12,20
3ndr1u,2026-06-12,20
kowalik,2026-06-12,20
Bogi07,2026-06-12,20
Pjotrullo,2026-06-12,15
Rado z Kolorado,2026-06-12,15
Malpiszon67,2026-06-12,10
Bogi07,2026-06-12,20
peterradzi,2026-06-12,0

Bajler,2026-06-13,85
Wadhwus,2026-06-13,70
M-Malecki,2026-06-13,70
kamiszon,2026-06-13,65
ChudyWNE,2026-06-13,60
BECIKMASTER,2026-06-13,60
Underbeskidzie,2026-06-13,55
DaKoPL,2026-06-13,50
Gzybi,2026-06-13,45
Przemek Z,2026-06-13,45
Lyssolini,2026-06-13,45
mizi,2026-06-13,35
Szymcio,2026-06-13,35
3ndr1u,2026-06-13,35
Arcik,2026-06-13,35
kowalik,2026-06-13,35
Kepi,2026-06-13,30
Pjotrullo,2026-06-13,30
Rado z Kolorado,2026-06-13,30
Fabio22,2026-06-13,20
Malpiszon67,2026-06-13,20
Bogi07,2026-06-13,20
peterradzi,2026-06-13,15

Bajler,2026-06-14,105
Wadhwus,2026-06-14,100
M-Malecki,2026-06-14,130
kamiszon,2026-06-14,105
ChudyWNE,2026-06-14,80
BECIKMASTER,2026-06-14,95
Underbeskidzie,2026-06-14,75
DaKoPL,2026-06-14,70
Gzybi,2026-06-14,65
Przemek Z,2026-06-14,50
Lyssolini,2026-06-14,65
mizi,2026-06-14,95
Szymcio,2026-06-14,55
3ndr1u,2026-06-14,65
Arcik,2026-06-14,65
kowalik,2026-06-14,65
Kepi,2026-06-14,65
Pjotrullo,2026-06-14,55
Rado z Kolorado,2026-06-14,60
Fabio22,2026-06-14,45
Malpiszon67,2026-06-14,40
Bogi07,2026-06-14,40
peterradzi,2026-06-14,30

Bajler,2026-06-15,130
Wadhwus,2026-06-15,130
M-Malecki,2026-06-15,175
kamiszon,2026-06-15,145
ChudyWNE,2026-06-15,125
BECIKMASTER,2026-06-15,125
Underbeskidzie,2026-06-15,120
DaKoPL,2026-06-15,110
Gzybi,2026-06-15,90
